Destino,Aeroporto Nacional,Origem
Mato Grosso,Aeroporto Internacional de Guarulhos,Hungria
Mato Grosso,Aeroporto Internacional de Guarulhos,Hungria
São Paulo,Aeroporto Internacional de Guarulhos,Rússia
Pernambuco,Aeroporto Internacional de Viracopos,República Tcheca
Pernambuco,Aeroporto Internacional de Viracopos,República Tcheca
Mato Grosso do Sul,Aeroporto Internacional de Guarulhos,Alemanha
Mato Grosso do Sul,Aeroporto Internacional de Guarulhos,Alemanha
Piauí,Aeroporto Internacional de Guarulhos,Itália
Piauí,Aeroporto Internacional de Guarulhos,Itália
Rio Grande do Norte,Aeroporto Internacional Augusto Severo,China
Bahia,Aeroporto Internacional de Salvador,Alemanha
Bahia,Aeroporto Internacional de Salvador,Alemanha
Piauí,Aeroporto Internacional de Fortaleza ,China
São Paulo,Aeroporto Internacional de Vitória,Polônia
São Paulo,Aeroporto Internacional de Vitória,Polônia
São Paulo,Aeroporto Internacional de Vitória,Suécia
São Paulo,Aeroporto Internacional de Vitória,Suécia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Grécia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Grécia
Paraná,Aeroporto Internacional de Porto Alegre,China
Rio Grande do Sul,Aeroporto Internacional do Rio de Janeiro,Tailândia
Distrito Federal,Aeroporto Internacional de Guarulhos,Dinamarca
Distrito Federal,Aeroporto Internacional de Guarulhos,Dinamarca
Goiás,Aeroporto Internacional de Belo Horizonte,Hong Kong
São Paulo,Aeroporto Internacional de Viracopos,Luxemburgo
São Paulo,Aeroporto Internacional de Viracopos,Luxemburgo
São Paulo,Aeroporto Internacional de Vitória,Alemanha
São Paulo,Aeroporto Internacional de Vitória,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Espanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Espanha
Paraná,Aeroporto Internacional de Curitiba,Coreia do Sul
Distrito Federal,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
Paraná,Aeroporto Internacional de Curitiba,Finlândia
Paraná,Aeroporto Internacional de Curitiba,Finlândia
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,França
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,França
Goiás,Aeroporto Internacional de Viracopos,Irlanda
Goiás,Aeroporto Internacional de Viracopos,Irlanda
Santa Catarina,Aeroporto Internacional de Florianópolis,China
Rio Grande do Norte,Aeroporto Internacional Augusto Severo,Espanha
Rio Grande do Norte,Aeroporto Internacional Augusto Severo,Espanha
Distrito Federal,Aeroporto Internacional do Rio de Janeiro,Portugal
Distrito Federal,Aeroporto Internacional do Rio de Janeiro,Portugal
Rio Grande do Norte,Aeroporto Internacional de Viracopos,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Florianópolis,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Curitiba,China
Rio Grande do Norte,Aeroporto Internacional Augusto Severo,Polônia
Rio Grande do Norte,Aeroporto Internacional Augusto Severo,Polônia
Santa Catarina,Aeroporto Internacional de Navegantes,Itália
Santa Catarina,Aeroporto Internacional de Navegantes,Itália
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Japão
Paraná,Aeroporto Internacional de Guarulhos,Itália
Paraná,Aeroporto Internacional de Guarulhos,Itália
Rio Grande do Norte,Aeroporto Internacional de Viracopos,Polônia
Rio Grande do Norte,Aeroporto Internacional de Viracopos,Polônia
Santa Catarina,Aeroporto Internacional de Curitiba,Hungria
Santa Catarina,Aeroporto Internacional de Curitiba,Hungria
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Reino Unido
Distrito Federal,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
Distrito Federal,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
Paraíba,Aeroporto Internacional do Recife ,Malásia
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Curitiba,Áustria
Santa Catarina,Aeroporto Internacional de Curitiba,Áustria
Maranhão,Aeroporto Internacional de Fortaleza ,Itália
Maranhão,Aeroporto Internacional de Fortaleza ,Itália
Pernambuco,Aeroporto Internacional de Manaus,Dinamarca
Pernambuco,Aeroporto Internacional de Manaus,Dinamarca
Pernambuco,Aeroporto Internacional Augusto Severo,Dinamarca
Pernambuco,Aeroporto Internacional Augusto Severo,Dinamarca
Santa Catarina,Aeroporto Internacional de Florianópolis,Alemanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Bélgica
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Bélgica
Alagoas,Aeroporto Internacional do Recife ,Espanha
Alagoas,Aeroporto Internacional do Recife ,Espanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Coreia do Sul
Rio de Janeiro,Aeroporto Internacional de Guarulhos,República Tcheca
Rio de Janeiro,Aeroporto Internacional de Guarulhos,República Tcheca
Pará,Aeroporto Internacional de Belém,China
Ceará,Aeroporto Internacional de Fortaleza ,República Tcheca
Ceará,Aeroporto Internacional de Fortaleza ,República Tcheca
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Romênia
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Romênia
Mato Grosso,Aeroporto Internacional de Várzea Grande,Alemanha
Mato Grosso,Aeroporto Internacional de Várzea Grande,Alemanha
Espírito Santo,Aeroporto Internacional de Belo Horizonte,Alemanha
Espírito Santo,Aeroporto Internacional de Belo Horizonte,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,Coreia do Norte
Paraná,Aeroporto Internacional de Viracopos,Hungria
Paraná,Aeroporto Internacional de Viracopos,Hungria
Santa Catarina,Aeroporto Internacional de Curitiba,Alemanha
Santa Catarina,Aeroporto Internacional de Curitiba,Alemanha
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,França
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,França
São Paulo,Aeroporto Internacional de Porto Alegre,China
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Finlândia
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Finlândia
Bahia,Aeroporto Internacional de Salvador,Coreia do Sul
Paraíba,Aeroporto Internacional do Recife ,Japão
Pará,Aeroporto Internacional de Fortaleza ,Suíça
Distrito Federal,Aeroporto Internacional de Viracopos,Hong Kong
Santa Catarina,Aeroporto Internacional de Florianópolis,Reino Unido
Amazonas,Aeroporto Internacional de Manaus,Polônia
Amazonas,Aeroporto Internacional de Manaus,Polônia
Amazonas,Aeroporto Internacional de Manaus,Finlândia
Amazonas,Aeroporto Internacional de Manaus,Finlândia
Ceará,Aeroporto Internacional de Fortaleza ,China
Paraná,Aeroporto Internacional de Curitiba,Portugal
Paraná,Aeroporto Internacional de Curitiba,Portugal
Pará,Aeroporto Internacional de Vitória,Alemanha
Pará,Aeroporto Internacional de Vitória,Alemanha
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,Reino Unido
Goiás,Aeroporto Internacional de Guarulhos,Hong Kong
Mato Grosso,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Espírito Santo,Aeroporto Internacional de Guarulhos,Alemanha
Espírito Santo,Aeroporto Internacional de Guarulhos,Alemanha
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,Alemanha
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,Alemanha
Rondônia,Aeroporto Internacional de Vitória,China
Goiás,Aeroporto Internacional de Brasília,França
Goiás,Aeroporto Internacional de Brasília,França
Espírito Santo,Aeroporto Internacional de Vitória,Filipinas
Bahia,Aeroporto Internacional de Salvador,China
Santa Catarina,Aeroporto Internacional de Navegantes,Coreia do Sul
Ceará,Aeroporto Internacional de Salvador,Reino Unido
Distrito Federal,Aeroporto Internacional de Brasília,Espanha
Distrito Federal,Aeroporto Internacional de Brasília,Espanha
Santa Catarina,Aeroporto Internacional de Curitiba,Espanha
Santa Catarina,Aeroporto Internacional de Curitiba,Espanha
Amazonas,Aeroporto Internacional de Manaus,Indonésia
Rio de Janeiro,Aeroporto Internacional de Guarulhos,França
Rio de Janeiro,Aeroporto Internacional de Guarulhos,França
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,República Tcheca
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,República Tcheca
Ceará,Aeroporto Internacional de Fortaleza ,Noruega
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Suécia
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Suécia
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Itália
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Itália
Pará,Aeroporto Internacional de Guarulhos,Alemanha
Pará,Aeroporto Internacional de Guarulhos,Alemanha
Maranhão,Aeroporto Internacional de Brasília,República Tcheca
Maranhão,Aeroporto Internacional de Brasília,República Tcheca
Bahia,Aeroporto Internacional de Salvador,Polônia
Bahia,Aeroporto Internacional de Salvador,Polônia
Alagoas,Aeroporto Internacional do Recife ,Alemanha
Alagoas,Aeroporto Internacional do Recife ,Alemanha
Rio Grande do Norte,Aeroporto Internacional de Salvador,Polônia
Rio Grande do Norte,Aeroporto Internacional de Salvador,Polônia
Espírito Santo,Aeroporto Internacional de Vitória,Suíça
Santa Catarina,Aeroporto Internacional de Navegantes,Dinamarca
Santa Catarina,Aeroporto Internacional de Navegantes,Dinamarca
Santa Catarina,Aeroporto Internacional de Viracopos,Portugal
Santa Catarina,Aeroporto Internacional de Viracopos,Portugal
Mato Grosso,Aeroporto Internacional de Várzea Grande,Hungria
Mato Grosso,Aeroporto Internacional de Várzea Grande,Hungria
Santa Catarina,Aeroporto Internacional de Guarulhos,Dinamarca
Santa Catarina,Aeroporto Internacional de Guarulhos,Dinamarca
Ceará,Aeroporto Internacional de Fortaleza ,Finlândia
Ceará,Aeroporto Internacional de Fortaleza ,Finlândia
São Paulo,Aeroporto Internacional de Guarulhos,Alemanha
São Paulo,Aeroporto Internacional de Guarulhos,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Singapura
Pará,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Romênia
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Romênia
Ceará,Aeroporto Internacional de Fortaleza ,Áustria
Ceará,Aeroporto Internacional de Fortaleza ,Áustria
Distrito Federal,Aeroporto Internacional de Belo Horizonte,República Tcheca
Distrito Federal,Aeroporto Internacional de Belo Horizonte,República Tcheca
Paraná,Aeroporto Internacional de Curitiba,Irlanda
Paraná,Aeroporto Internacional de Curitiba,Irlanda
Espírito Santo,Aeroporto Internacional de Viracopos,Suíça
Maranhão,Aeroporto Internacional de São Luís,França
Maranhão,Aeroporto Internacional de São Luís,França
Distrito Federal,Aeroporto Internacional de Guarulhos,Alemanha
Distrito Federal,Aeroporto Internacional de Guarulhos,Alemanha
Bahia,Aeroporto Internacional de Salvador,Finlândia
Bahia,Aeroporto Internacional de Salvador,Finlândia
Santa Catarina,Aeroporto Internacional de Guarulhos,Irlanda
Santa Catarina,Aeroporto Internacional de Guarulhos,Irlanda
Rio Grande do Norte,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
Rio Grande do Norte,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
Ceará,Aeroporto Internacional de Fortaleza ,Hungria
Ceará,Aeroporto Internacional de Fortaleza ,Hungria
Santa Catarina,Aeroporto Internacional de Curitiba,Países Baixos (Holanda)
Santa Catarina,Aeroporto Internacional de Curitiba,Países Baixos (Holanda)
Paraíba,Aeroporto Internacional de João Pessoa,Itália
Paraíba,Aeroporto Internacional de João Pessoa,Itália
Rio de Janeiro,Aeroporto Internacional de Viracopos,Hungria
Rio de Janeiro,Aeroporto Internacional de Viracopos,Hungria
Maranhão,Aeroporto Internacional de Viracopos,Hungria
Maranhão,Aeroporto Internacional de Viracopos,Hungria
Rondônia,Aeroporto Internacional de Viracopos,China
Paraná,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Espírito Santo,Aeroporto Internacional de Viracopos,Turquia
Maranhão,Aeroporto Internacional de Fortaleza ,Alemanha
Maranhão,Aeroporto Internacional de Fortaleza ,Alemanha
Rio Grande do Norte,Aeroporto Internacional do Rio de Janeiro,França
Rio Grande do Norte,Aeroporto Internacional do Rio de Janeiro,França
Paraná,Aeroporto Internacional de Curitiba,Bélgica
Paraná,Aeroporto Internacional de Curitiba,Bélgica
Rondônia,Aeroporto Internacional de Viracopos,Taiwan (Formosa)
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Portugal
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Portugal
Rio Grande do Norte,Aeroporto Internacional do Rio de Janeiro,Malásia
Maranhão,Aeroporto Internacional de Viracopos,República Tcheca
Maranhão,Aeroporto Internacional de Viracopos,República Tcheca
Minas Gerais,Aeroporto Internacional de Guarulhos,Dinamarca
Minas Gerais,Aeroporto Internacional de Guarulhos,Dinamarca
Pará,Aeroporto Internacional de Guarulhos,China
Santa Catarina,Aeroporto Internacional de Navegantes,Tailândia
Espírito Santo,Aeroporto Internacional de Guarulhos,Polônia
Espírito Santo,Aeroporto Internacional de Guarulhos,Polônia
Espírito Santo,Aeroporto Internacional de Vitória,Singapura
Amazonas,Aeroporto Internacional de Manaus,Taiwan (Formosa)
Rio de Janeiro,Aeroporto Santos Dumont,Reino Unido
Goiás,Aeroporto Internacional de Guarulhos,Japão
Pernambuco,Aeroporto Internacional do Recife ,Índia
Amazonas,Aeroporto Internacional de Manaus,República Tcheca
Amazonas,Aeroporto Internacional de Manaus,República Tcheca
Pernambuco,Aeroporto Internacional de Guarulhos,Espanha
Pernambuco,Aeroporto Internacional de Guarulhos,Espanha
Goiás,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
Pernambuco,Aeroporto Internacional do Recife ,Países Baixos (Holanda)
Pernambuco,Aeroporto Internacional do Recife ,Países Baixos (Holanda)
Santa Catarina,Aeroporto Internacional de Curitiba,Portugal
Santa Catarina,Aeroporto Internacional de Curitiba,Portugal
Ceará,Aeroporto Internacional de Fortaleza ,Singapura
São Paulo,Aeroporto Internacional de Porto Alegre,Polônia
São Paulo,Aeroporto Internacional de Porto Alegre,Polônia
Ceará,Aeroporto Internacional de Fortaleza ,Hong Kong
Maranhão,Aeroporto Internacional do Rio de Janeiro,Áustria
Maranhão,Aeroporto Internacional do Rio de Janeiro,Áustria
Paraná,Aeroporto Internacional de Curitiba,Suécia
Paraná,Aeroporto Internacional de Curitiba,Suécia
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Reino Unido
São Paulo,Aeroporto Internacional de Belo Horizonte,China
Goiás,Aeroporto Internacional de Belo Horizonte,Japão
Santa Catarina,Aeroporto Internacional do Rio de Janeiro,Coreia do Sul
Rio de Janeiro,Aeroporto Santos Dumont,Noruega
Bahia,Aeroporto Internacional de Salvador,República Tcheca
Bahia,Aeroporto Internacional de Salvador,República Tcheca
Rondônia,Aeroporto Internacional do Rio de Janeiro,Coreia do Sul
Espírito Santo,Aeroporto Internacional de Viracopos,França
Espírito Santo,Aeroporto Internacional de Viracopos,França
Paraíba,Aeroporto Internacional do Recife ,Taiwan (Formosa)
Tocantins,Aeroporto Internacional de Vitória,Taiwan (Formosa)
Mato Grosso,Aeroporto Internacional de Guarulhos,Alemanha
Mato Grosso,Aeroporto Internacional de Guarulhos,Alemanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Hungria
Santa Catarina,Aeroporto Internacional de Florianópolis,Hungria
Maranhão,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
Rio de Janeiro,Aeroporto Internacional de Viracopos,República Tcheca
Rio de Janeiro,Aeroporto Internacional de Viracopos,República Tcheca
São Paulo,Aeroporto Internacional de Guarulhos,Eslováquia
São Paulo,Aeroporto Internacional de Guarulhos,Eslováquia
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Coreia do Sul
Amazonas,Aeroporto Internacional de Manaus,Hungria
Amazonas,Aeroporto Internacional de Manaus,Hungria
Mato Grosso do Sul,Aeroporto Internacional de Guarulhos,Hungria
Mato Grosso do Sul,Aeroporto Internacional de Guarulhos,Hungria
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Rússia
Paraíba,Aeroporto Internacional do Rio de Janeiro,Japão
Amazonas,Aeroporto Internacional de Manaus,Bulgária
Amazonas,Aeroporto Internacional de Manaus,Bulgária
Goiás,Aeroporto Internacional de Guarulhos,Portugal
Goiás,Aeroporto Internacional de Guarulhos,Portugal
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Suíça
Distrito Federal,Aeroporto Internacional de Brasília,Dinamarca
Distrito Federal,Aeroporto Internacional de Brasília,Dinamarca
Espírito Santo,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Portugal
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Portugal
Tocantins,Aeroporto Internacional de Viracopos,Taiwan (Formosa)
Rio de Janeiro,Aeroporto Internacional de Belo Horizonte,China
Espírito Santo,Aeroporto Internacional de Guarulhos,Japão
Espírito Santo,Aeroporto Internacional de Vitória,Coreia do Sul
Pernambuco,Aeroporto Internacional do Recife ,Hungria
Pernambuco,Aeroporto Internacional do Recife ,Hungria
Espírito Santo,Aeroporto Internacional de Vitória,Noruega
Santa Catarina,Aeroporto Internacional de Brasília,Coreia do Sul
Pará,Aeroporto Internacional de Belém,Países Baixos (Holanda)
Pará,Aeroporto Internacional de Belém,Países Baixos (Holanda)
Rio de Janeiro,Aeroporto Internacional de Viracopos,Irlanda
Rio de Janeiro,Aeroporto Internacional de Viracopos,Irlanda
Santa Catarina,Aeroporto Internacional de Navegantes,China
Rio de Janeiro,Aeroporto Internacional de Vitória,Singapura
Paraíba,Aeroporto Internacional de Viracopos,República Tcheca
Paraíba,Aeroporto Internacional de Viracopos,República Tcheca
Distrito Federal,Aeroporto Internacional de Belo Horizonte,Singapura
Goiás,Aeroporto Internacional de Guarulhos,Índia
Pará,Aeroporto Internacional de Belo Horizonte,China
Rio de Janeiro,Aeroporto Internacional de Vitória,Tailândia
Rio Grande do Sul,Aeroporto Internacional do Rio de Janeiro,Alemanha
Rio Grande do Sul,Aeroporto Internacional do Rio de Janeiro,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,Islândia
Distrito Federal,Aeroporto Internacional de Viracopos,Hungria
Distrito Federal,Aeroporto Internacional de Viracopos,Hungria
São Paulo,Aeroporto Internacional de Belo Horizonte,República Tcheca
São Paulo,Aeroporto Internacional de Belo Horizonte,República Tcheca
Bahia,Aeroporto Internacional de Belo Horizonte,Alemanha
Bahia,Aeroporto Internacional de Belo Horizonte,Alemanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Espanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Espanha
Pará,Aeroporto Internacional do Rio de Janeiro,Irlanda
Pará,Aeroporto Internacional do Rio de Janeiro,Irlanda
Santa Catarina,Aeroporto Internacional de Navegantes,Espanha
Santa Catarina,Aeroporto Internacional de Navegantes,Espanha
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Eslováquia
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Eslováquia
Pará,Aeroporto Internacional de Guarulhos,Suécia
Pará,Aeroporto Internacional de Guarulhos,Suécia
Ceará,Aeroporto Internacional de Guarulhos,Reino Unido
Tocantins,Aeroporto Internacional de Vitória,China
Santa Catarina,Aeroporto Internacional de Navegantes,Taiwan (Formosa)
Espírito Santo,Aeroporto Internacional de Viracopos,Cazaquistão
São Paulo,Aeroporto Internacional de Viracopos,Cazaquistão
Goiás,Aeroporto Internacional de Belo Horizonte,Noruega
São Paulo,Aeroporto Internacional de Belo Horizonte,Irlanda
São Paulo,Aeroporto Internacional de Belo Horizonte,Irlanda
Espírito Santo,Aeroporto Internacional de Vitória,Espanha
Espírito Santo,Aeroporto Internacional de Vitória,Espanha
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Noruega
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Espanha
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Espanha
São Paulo,Aeroporto Internacional do Recife ,Áustria
São Paulo,Aeroporto Internacional do Recife ,Áustria
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Luxemburgo
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Luxemburgo
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Finlândia
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Finlândia
Distrito Federal,Aeroporto Internacional de Salvador,China
Distrito Federal,Aeroporto Internacional de Guarulhos,República Tcheca
Distrito Federal,Aeroporto Internacional de Guarulhos,República Tcheca
Santa Catarina,Aeroporto Internacional de Navegantes,Áustria
Santa Catarina,Aeroporto Internacional de Navegantes,Áustria
Sergipe,Aeroporto Internacional de Salvador,Alemanha
Sergipe,Aeroporto Internacional de Salvador,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Singapura
Santa Catarina,Aeroporto Internacional de Navegantes,Irlanda
Santa Catarina,Aeroporto Internacional de Navegantes,Irlanda
Sergipe,Aeroporto Internacional de Salvador,Hungria
Sergipe,Aeroporto Internacional de Salvador,Hungria
Piauí,Aeroporto Internacional de Fortaleza ,Hungria
Piauí,Aeroporto Internacional de Fortaleza ,Hungria
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Filipinas
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,Itália
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,Itália
Espírito Santo,Aeroporto Internacional de Viracopos,Finlândia
Espírito Santo,Aeroporto Internacional de Viracopos,Finlândia
São Paulo,Aeroporto Internacional de Guarulhos,Filipinas
Amazonas,Aeroporto Internacional de Viracopos,Malásia
São Paulo,Aeroporto Internacional de Belo Horizonte,França
São Paulo,Aeroporto Internacional de Belo Horizonte,França
Amazonas,Aeroporto Internacional de Viracopos,Alemanha
Amazonas,Aeroporto Internacional de Viracopos,Alemanha
Amazonas,Aeroporto Internacional de Manaus,Coreia do Sul
São Paulo,Aeroporto Internacional de Guarulhos,Malta
São Paulo,Aeroporto Internacional de Guarulhos,Malta
Santa Catarina,Aeroporto Internacional de Navegantes,Alemanha
Santa Catarina,Aeroporto Internacional de Navegantes,Alemanha
Santa Catarina,Aeroporto Internacional de Navegantes,Polônia
Santa Catarina,Aeroporto Internacional de Navegantes,Polônia
Paraná,Aeroporto Internacional de Curitiba,China
Santa Catarina,Aeroporto Internacional de Curitiba,República Tcheca
Santa Catarina,Aeroporto Internacional de Curitiba,República Tcheca
Pernambuco,Aeroporto Internacional do Recife ,Reino Unido
Espírito Santo,Aeroporto Internacional de Vitória,Irlanda
Espírito Santo,Aeroporto Internacional de Vitória,Irlanda
São Paulo,Aeroporto Internacional de Porto Alegre,Áustria
São Paulo,Aeroporto Internacional de Porto Alegre,Áustria
Rio de Janeiro,Aeroporto Internacional de Manaus,Alemanha
Rio de Janeiro,Aeroporto Internacional de Manaus,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Hungria
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Hungria
Ceará,Aeroporto Internacional de Salvador,Alemanha
Ceará,Aeroporto Internacional de Salvador,Alemanha
Sergipe,Aeroporto Internacional de Guarulhos,Alemanha
Sergipe,Aeroporto Internacional de Guarulhos,Alemanha
Ceará,Aeroporto Internacional de Fortaleza ,Japão
Santa Catarina,Aeroporto Internacional de Florianópolis,Coreia do Sul
Goiás,Aeroporto Internacional de Viracopos,Noruega
São Paulo,Aeroporto Internacional de Guarulhos,Croácia
São Paulo,Aeroporto Internacional de Guarulhos,Croácia
Santa Catarina,Aeroporto Internacional de Curitiba,Taiwan (Formosa)
São Paulo,Aeroporto Internacional de Viracopos,Maldivas
São Paulo,Aeroporto Internacional de Viracopos,Malta
São Paulo,Aeroporto Internacional de Viracopos,Malta
Espírito Santo,Aeroporto Internacional de Viracopos,Bélgica
Espírito Santo,Aeroporto Internacional de Viracopos,Bélgica
Rio Grande do Sul,Aeroporto Internacional de Florianópolis,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Florianópolis,Alemanha
Amazonas,Aeroporto Internacional de Manaus,Estônia
Amazonas,Aeroporto Internacional de Manaus,Estônia
Rio de Janeiro,Aeroporto Internacional de Viracopos,Malásia
Sergipe,Aeroporto Internacional de Salvador,Malásia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Irlanda
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Irlanda
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Países Baixos (Holanda)
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Guarulhos,Coreia do Norte
Distrito Federal,Aeroporto Internacional de Guarulhos,Irlanda
Distrito Federal,Aeroporto Internacional de Guarulhos,Irlanda
Santa Catarina,Aeroporto Internacional de Florianópolis,Dinamarca
Santa Catarina,Aeroporto Internacional de Florianópolis,Dinamarca
Paraná,Aeroporto Internacional de Viracopos,Coreia do Sul
Santa Catarina,Aeroporto Internacional de Curitiba,França
Santa Catarina,Aeroporto Internacional de Curitiba,França
São Paulo,Aeroporto Internacional de Manaus,Hungria
São Paulo,Aeroporto Internacional de Manaus,Hungria
Santa Catarina,Aeroporto Internacional de Florianópolis,Japão
São Paulo,Aeroporto Internacional de Manaus,Reino Unido
Rondônia,Aeroporto Internacional de Manaus,Finlândia
Rondônia,Aeroporto Internacional de Manaus,Finlândia
Santa Catarina,Aeroporto Internacional de Florianópolis,Índia
Distrito Federal,Aeroporto Internacional de Guarulhos,Suécia
Distrito Federal,Aeroporto Internacional de Guarulhos,Suécia
Pernambuco,Aeroporto Internacional de Salvador,Taiwan (Formosa)
Bahia,Aeroporto Internacional de Salvador,Malásia
Pernambuco,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Pernambuco,Aeroporto Internacional do Recife ,Coreia do Sul
Santa Catarina,Aeroporto Internacional de Navegantes,Noruega
Santa Catarina,Aeroporto Internacional do Rio de Janeiro,Noruega
Espírito Santo,Aeroporto Internacional de Vitória,Bélgica
Espírito Santo,Aeroporto Internacional de Vitória,Bélgica
Rio de Janeiro,Aeroporto Internacional de Vitória,República Tcheca
Rio de Janeiro,Aeroporto Internacional de Vitória,República Tcheca
Pernambuco,Aeroporto Internacional do Recife ,Irlanda
Pernambuco,Aeroporto Internacional do Recife ,Irlanda
Amazonas,Aeroporto Internacional de Guarulhos,China
Espírito Santo,Aeroporto Internacional de Vitória,Países Baixos (Holanda)
Espírito Santo,Aeroporto Internacional de Vitória,Países Baixos (Holanda)
Rio Grande do Norte,Aeroporto Internacional de Viracopos,Reino Unido
São Paulo,Aeroporto Internacional de Curitiba,Malásia
Santa Catarina,Aeroporto Internacional de Florianópolis,Coreia do Norte
Espírito Santo,Aeroporto Internacional de Viracopos,Alemanha
Espírito Santo,Aeroporto Internacional de Viracopos,Alemanha
Rondônia,Aeroporto Internacional de Vitória,Taiwan (Formosa)
Pernambuco,Aeroporto Internacional do Rio de Janeiro,Reino Unido
Pernambuco,Aeroporto Internacional de Viracopos,Alemanha
Pernambuco,Aeroporto Internacional de Viracopos,Alemanha
Mato Grosso do Sul,Aeroporto Internacional de Viracopos,Alemanha
Mato Grosso do Sul,Aeroporto Internacional de Viracopos,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Áustria
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Áustria
Espírito Santo,Aeroporto Internacional de Guarulhos,Espanha
Espírito Santo,Aeroporto Internacional de Guarulhos,Espanha
Bahia,Aeroporto Internacional de Viracopos,República Tcheca
